Type,,,,,,,,,,,,,,,,,,,,,,,,,
compound,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
concentration,N,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0
concentration,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concentration,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volume,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
volume,A,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,B,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,C,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,D,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,E,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,F,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,G,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,H,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,I,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,J,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,K,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,L,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,M,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
volume,N,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0
volume,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volume,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
your_var_name_here_1,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
your_var_name_here_1,A,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3
your_var_name_here_1,B,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3
your_var_name_here_1,C,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3
your_var_name_here_1,D,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3
your_var_name_here_1,E,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3
your_var_name_here_1,F,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3,Protein3
your_var_name_here_1,G,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,H,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,I,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,J,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,K,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,L,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein2,Protein2,Protein2,Protein2,Protein2,Protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,M,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,N,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,O,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_1,P,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
your_var_name_here_2,A,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,B,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,C,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,D,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,protein1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,E,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,F,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,G,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,H,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,I,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,J,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,K,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,L,protein2,protein2,protein3,protein3,protein3,protein3,protein3,protein3,protein3,protein3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,M,protein2,protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,N,protein2,protein2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,O,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
your_var_name_here_2,P,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
